統一編號,公司名稱,公司地址,實收資本額,公司狀態,產製日期
13135537,博進國際有限公司,臺北市中山區新生北路3段48號9樓之1,null,核准設立,2020-04-01 02:36:38.997
13155239,國齡企業有限公司,高雄市苓雅區四維四路3號10樓之1,null,核准設立,2020-04-01 02:36:38.997
13161838,巨蛋藝術飲食文化股份有限公司,高雄市前金區永恆街18號地下一層,1000000,核准設立,2020-04-01 02:36:38.997
13163478,宏拓環球集運有限公司,高雄市苓雅區四維四路199號3樓,0,核准設立,2020-04-01 02:36:38.997
13168396,銘陽美學國際有限公司,高雄市三民區莊敬路135號,0,核准設立,2020-04-01 02:36:38.997
13173829,百里路順股份有限公司,臺北市中山區龍江路457巷2號1樓,10000000,核准設立,2020-04-01 02:36:38.997
13174658,世親實業有限公司,高雄市鼓山區裕豐街143號5樓,0,核准設立,2020-04-01 02:36:38.997
16027151,環球富聯股份有限公司,臺中市北區錦祥里4鄰北屯路18號15樓之4,122500000,核准設立,2020-04-01 02:36:38.997
16055536,捷洲資訊股份有限公司,新北市汐止區新台五路1段96號3樓,63000000,核准設立,2020-04-01 02:36:38.997
16062369,惠中電腦資訊有限公司,彰化縣和美鎮和北里倡和街74號1樓,null,核准設立,2020-04-01 02:36:38.997
16068618,棕櫚泉實業股份有限公司,新北市土城區中央路2段191號8樓之3,21000000,核准設立,2020-04-01 02:36:38.997
16084477,聯華電信股份有限公司,臺北市內湖區舊宗路2段105號4樓,405000000,核准設立,2020-04-01 02:36:38.997
16097233,統一東京股份有限公司,臺北市松山區東興路8號12樓,588000000,核准設立,2020-04-01 02:36:38.997
16110427,普星生物科技有限公司,高雄市燕巢區安林三街32號2樓,0,核准設立,2020-04-01 02:36:38.997
16114090,炳昌企業有限公司,高雄市三民區大昌二路462巷44弄12號1樓,0,核准設立,2020-04-01 02:36:38.997
16125322,松承實業有限公司,高雄市楠梓區後昌路876巷2弄109號6樓,0,核准設立,2020-04-01 02:36:38.997
16128643,浦羅企業有限公司,高雄市三民區澄和路115號1樓,0,核准設立,2020-04-01 02:36:38.997
16151427,統一資訊股份有限公司,臺北市內湖區陽光街246號6樓,299005500,核准設立,2020-04-01 02:36:38.997
16164859,愛不釋手有限公司,臺北市大安區延吉街159之4號,null,核准設立,2020-04-01 02:36:38.997
16170016,領安國際有限公司,臺北市北投區懷德街15號,0,核准設立,2020-04-01 02:36:38.997
16195403,柏昇汽車有限公司,臺中市西屯區福安里福科路295號1樓,0,核准設立,2020-04-01 02:36:38.997
16203276,順益昌商業有限公司,桃園市八德區永豐路332號,null,核准設立,2020-04-01 02:36:38.997
16226200,百惠資訊事業有限公司,高雄市旗山區鼓山里延平一路491之1號1樓,0,核准設立,2020-04-01 02:36:38.997
16233194,暉信企業有限公司,彰化縣埤頭鄉和豐村斗苑東路178巷10號,0,核准設立,2020-04-01 02:36:38.997
16264386,有幾園生物科技股份有限公司,臺中市梧棲區港埠路一段537號,113800000,核准設立,2020-04-01 02:36:38.997
16292398,高速線電信股份有限公司,新北市中和區建八路16號7樓之1,5000000,廢止,2020-04-01 02:36:38.997
16294451,文佳科技股份有限公司,新竹市東區金山里金山二十五街90號1樓,175042430,核准設立,2020-04-01 02:36:38.997
16297773,蜜威國際有限公司,臺北市大安區麗水街26之2號地下1層,null,核准設立,2020-04-01 02:36:38.997
16312789,犇亞商務股份有限公司,臺北市松山區復興北路99號14樓,110000000,核准設立,2020-04-01 02:36:38.997
16313302,網際威信股份有限公司,臺北市內湖區港墘路200號7樓,172000000,核准設立,2020-04-01 02:36:38.997
